movie_id,review_id,author,title,text,rating,date,upvotes,downvotes,last_update,to_process
tt6208148,rw10459607,rstloup-59645,Surprisingly faithful to the original,"I went in knowing nothing about it, having read no reviews, and I'm glad I did, because I was able to form an honest, unbiased reaction. And it's quite good.
As someone who has watched the original countless times, and knows the Disneyland ride version backwards and forwards, I appreciated the various homages to the original in this version. When you first encounter the dwarves singing hi-ho on their way back from the mines, your first glimpse of them is as marching shadows along the rock wall. The scary forest and the Bavarian interior of the dwarves' cabin are right out of the original also, except with modern depth and greater detail. The film begins as the original did, with the opening of a beautiful, ancient-looking book. Certain other shots replicate but update the originals: the animal critters flying off to summon the dwarves, the dwarves riding frantically to come to Snow White's rescue, their sad, hunched figures as they mourn for her later -- right on down to Grumpy revealing himself as a softie who loved her as much or more as the rest of them.
I even enjoyed other little wink-and-nudge homages, like the dwarves riding a roller coaster through the mines, clearly evocative of the interior of the 7-D mine train in Disney World. If it was a product tie-in, it was a fun one.
This one includes some of the best songs from the original film, and throws in some new ones as well. The new ones are a mixed bag -- some good, some not-so-good.
I'm a traditionalist in many ways, but I thought some of the updates of the original were appropriate; the word ""fair"" was not used in a literal sense, as in suggesting having fairer skin was superior, but in the sense of meaning ""just"" and beautiful. And, as much as I treasure the original, it does show its age as a 1930s film; it's fine to update the look and music of a classic story. No faceless prince here bestowing a kiss totally out of context; there's an actual relationship to develop. And the story is, indeed, classic: it moves along familiarly without much padding, and for this old viewer that was a virtue.
I thought the dwarves were interesting; I assume they were CGI bodies underneath actual human actors' heads. Gal Gadot was convincingly evil. I thought Snow White wasn't played with great depth or range, but she has a sweet voice.
The film executed a classic story with lovely visuals and a reminder that it's never a bad idea to stand up for what you think is right.",9.0,2025-04-18,0,13,2025-04-20 09:05:02,0
tt6208148,rw10457921,landona-99086,"Had potential, but....","Let me be perfectly clear. I would not call this movie the worst? Rachel Zegler has a beautiful voice, and her as well as most other actors (save Gal Gadot) performed their parts rather nicely and they worked with what they had, which unfortunately is not a lot. So much about this feels undercooked. Like the romance with Johnathan. It was so incredibly rushed and I just couldn't feel the love at all. They hardly interact before falling in love. The Evil Queen felt like this nothing character, and maybe that's just from Gadot's stiff performance, but character wise, what does the Evil Queen even want? To be the most pretty or the most fair? If it's to be the most beautiful, that hardly matters to the rest of the story. Nobody cares she's beautiful. They care she's as horrible person. Johnathan, while interesting, is backed by his fellow bandits, who literally just show up? I don't know any of them? They're just there. Little development from them, not so much as an introduction to them. Finally, I don't understand Snow White's motivation. Does she want to be a good leader? Or does she want to escape the Evil Queen's tyranny? Because it seems to toss between the two. She ALREADY exhibits traits of being a good leader in the beginning, standing up to the Queen, giving Johnathan bread, teaching the Dwarves how to clean/whistle. There's no struggle there. So....idk. It feels shallow. Underdeveloped. There's so much about this flick that screams potential, mainly the performances and most of the songs. The romance subplot, or what we get of it, is really sweet, but it doesn't feel earned, and if they'd just developed it more, it'd be a really compelling storyline. That goes for most of this movie. It's not bad, not great. Just mid. I can't say I'm surprised.",4.0,2025-04-17,5,1,2025-04-20 09:05:02,0
tt6208148,rw10456578,houghy-24875,Worse Than Expected,"I wanted to watch this movie because of the horrible rating it has. My wife is a fan of Disney movies, and she even hated everything about it. This was the hardest watch I have had in recent memory and I couldn't wait for it to just end.
Rachel Zegler is both the bright point of the movie and the reason it was treated with such disdain. She is very talented and can sing so well, but her off screen presence hurt the movie immensely. She is a great singer, but needs to work on her acting. The dwarfs were enjoyable when they were on the screen. And that's the end of the positives.
The story was not Snow White, it was boring and dull. Don't get me started on Gal Gadot.... Worst performance of the year so far and it's not close. Very small amount of bright spots, and a whole ton of horrible.",1.0,2025-04-16,19,2,2025-04-20 09:05:02,0
tt6208148,rw10454980,imdbfan-99252,Very good,"Honestly, I didn't expect to enjoy this as much as I did. Snow White is obviously super old (1937!), but once you get past that, it's kind of magical. The animation is actually beautiful for its time-like, you can tell they put so much care into every frame. Snow White herself is a bit too sweet and passive for my taste, but I get it, it was a different era.
The dwarfs totally steal the show though. Grumpy has more character development in an hour than some modern characters do in a full movie. And Dopey is just adorable-no notes.
The Evil Queen is iconic. Super dramatic, super evil, totally fun to watch. I still think the poisoned apple scene is creepy in the best way.",10.0,2025-04-15,1,28,2025-04-20 09:05:02,0
tt0029583,rw9095596,gio_cira,A great classic,Snow White and the Seven Dwarfs is and will remain one of the quintessential classic films. This story is probably so famous due to the success of this film that it will never stop being seen. Obviously for future generations it may seem strange as a story but we must bear in mind that this film dates back to 1937 and that in those times there were different ideals. In any case this film is revolutionary with additions by the great genius Walt Disney that make the film very entertaining and enjoyable to watch. The Seven Dwarfs are the cutest thing you'll see today and what's not to love about Dopey. It's not a crazy movie but still in my opinion it's worth seeing if you get the time.,7.0,2023-06-02,1,0,2025-04-20 09:01:00,0
tt0029583,rw9266834,jackthepgl,The first ever Disney animated film ever!,"OK, so this is Walt Disney's first ever film. Snow White and the Seven Dwarfs. When I was a kid I enjoyed it. I enjoyed the seven dwarfs cause they're the highlight of this movie and the evil villian is the evil queen. There are some scary scenes in this when those kids know when the evil queen turned into the evil witch and Snow White running in the forests. The songs are really good, the chase between the seven dwarfs and the evil witch is phenomenal where she fall to her death, the ending makes audience's cry because Snow White died by eating the poison apple by the evil witch and the prince bringing Snow White back to life by kissing her. Everybody is filled with joy and Snow White and the prince lived happily ever after. Oh boy, I love this movie so much and my friend Sam Hudson told me that this is the first Disney film to be a huge box office success!",10.0,2023-08-18,6,1,2025-04-20 09:01:00,0
tt3566834,rw10457828,kgynkxzvz,Family movie,"The movie is not that bad if you just want tp relax and take a break from everething else, reccomend you to watch it with your family or friends. There is nothing special about this movie, plot is not interesting and primitive jokes are for 5 year old kids, wait until it will be added to any of the streamig services and watch it there, really do not spend money for this in the movie theater, and do not waist your time for it unless you just want to turn your brain off and relax watching a good graphics in the movie, yes the graphics and special effects are good, I like them also the actors playing their role not bad exept for Sebastian Eugene, he is very bad.",5.0,2025-04-17,0,0,2025-04-20 09:02:12,0
tt6208148,rw10459333,jessiesnxdr,Why are people so mean?,"Not sure why people are bashing this movie so much. The bad reviews everywhere compelled me to resurrect my old IMBD account just to be able to add something positive. I took my 4-year-old granddaughter and we both enjoyed it very much. Snow White's voice was beautiful! Songs were light and fun. The romance was sweet and cute. I didn't like the Dwarf CGI much and the queen's singing was pretty horrible, but I have definitely heard worse (ahem... Russell Crowe in Les Mis for example) Gal Gadot makes up for it with beauty and her evil acting though. She played the part well.
LIGHTEN UP people! It's just a silly Disney movie.",7.0,2025-04-17,0,11,2025-04-20 09:05:02,0
tt6208148,rw10458070,seifs-09,Mediocre acting,"I left the theater in the middle of the movie from how the movie is sending mixed messages and the bad acting specially from evil queen. Casting should consider their choice.
Disney's 2025 Snow White remake stumbles with Gal Gadot's Evil Queen, whose performance is a letdown. Her stilted line delivery and lackluster musical number, ""All Is Fair,"" fail to capture the villain's menace, feeling more campy than commanding. Rachel Zegler shines as Snow White, and the CGI dwarfs add charm, but Gadot's flat portrayal drags the film down. Despite catchy new songs and a modernized plot, the Queen's weak execution leaves this fairy tale less enchanting than it could have been.",1.0,2025-04-17,8,1,2025-04-20 09:05:02,0
tt6208148,rw10455562,LeonardoOliva69,This isn't the story many of us grew up with.,"Here we have a new case of ""Emilia Perez."" A film that had everything it needed to fail critically and at the box office.
Is it deserved? Without a doubt. Is it because of the cast? I think it has a lot to do with it, but it's not everything.
They tried to bring Disney's greatest classic of all time to live action. When these things happen, fans think it would be best to maintain the original spirit without changing anything, or perhaps adapt it to the present day.
Trying to adapt a classic isn't bad; the problem is when there's no soul, which is frankly what's happening here.
The original 1938 film is a great milestone in the history of cinema. Made with great love. They took animation to such a high artistic level that most countries, 80 years later, haven't been able to surpass it in animation quality in their productions. The story is quite innocent and sweet, but too simple, and there was a great opportunity to refine and modernize it. Unfortunately, that didn't happen in this case. This isn't the story many of us grew up with.
And that's basically it. I don't want to go on about it any further because I think I've said enough.
It's not a recommended film, really not. Sometimes some classics just have to be left as they are, without touching anything.",2.0,2025-04-15,16,0,2025-04-20 09:05:02,0
