review_id,author,story,acting,visuals,sounds,values,overall
rw2909541,flickershows,0.0,,,,1.0,1
rw10410434,HuntinPeck80,0.0,,,,1.0,1
rw2186139,lun-lun,-2.0,,,,-2.0,-2
rw2639859,bibleman24,2.0,2.0,,1.0,,2
rw1144806,Quinoa1984,1.0,1.0,2.0,1.0,1.0,1
rw2606787,hall895,0.0,,2.0,1.0,,1
rw10408196,sales-315,2.0,,2.0,2.0,2.0,2
rw3392345,Michael_Elliott,1.0,,2.0,,1.0,1
rw10402573,rhhrgck,2.0,,2.0,2.0,2.0,2
rw1320797,Spondonman,1.0,,2.0,2.0,1.0,2
rw0017117,maxogre,-1.0,,,,,-1
rw3010226,gerald-koh99,1.0,2.0,1.0,1.0,,2
rw9171470,mpjindustries-31649,1.0,,2.0,,,1
rw10402570,teacocic,2.0,1.0,,2.0,1.0,1
rw2028197,TheLittleSongbird,1.0,,1.0,2.0,,2
rw9308211,becketteller,1.0,1.0,2.0,1.0,,1
rw1823810,hazysummerskies,-2.0,,,,,-2
rw0017125,Ben_Cheshire,-1.0,,1.0,1.0,,2
rw10394405,brownjoea,2.0,,2.0,2.0,,2
rw3533242,Realrockerhalloween,-1.0,1.0,2.0,1.0,1.0,1
rw10024387,elizablake-01254,-1.0,,2.0,,-1.0,1
rw2214787,Reviewer14,2.0,2.0,2.0,2.0,,2
rw1732734,Mightyzebra,1.0,,1.0,,,1
rw3314371,davidjones-74681,2.0,2.0,2.0,2.0,,2
rw1534216,vivaladisney,2.0,,2.0,,,2
rw9307943,okainacesar,0.0,,2.0,-1.0,,1
rw0017097,nm18,-2.0,-2.0,,-2.0,,-2
rw2591767,jdn-hunt,2.0,,2.0,,1.0,2
rw2848804,hpotter1397,2.0,,2.0,2.0,,2
rw5988053,DogeGamer2015,0.0,,,,,0
rw0961149,MayorWilkins502,1.0,1.0,2.0,1.0,1.0,1
rw2648392,nutolm,1.0,,1.0,-1.0,,1
rw9095596,gio_cira,1.0,,,,,1
rw0017088,action-6,1.0,,2.0,2.0,,2
rw8481551,statuskuo,1.0,,,,1.0,1
